search_type,epochs,lr,reg,val_accuracy
grid,1000,0.05,0.001,0.8846153846153846
grid,1000,0.05,1e-05,0.8846153846153846
grid,1000,0.05,0.0001,0.8846153846153846
grid,1000,0.05,0.0005,0.8846153846153846
grid,1000,0.05,0.0,0.8846153846153846
grid,6000,0.01,0.001,0.878698224852071
grid,2000,0.03,0.001,0.878698224852071
grid,2000,0.03,0.0005,0.878698224852071
grid,6000,0.01,0.0005,0.878698224852071
grid,4000,0.01,0.0001,0.8757396449704142
grid,6000,0.05,0.0,0.8757396449704142
grid,6000,0.05,0.0005,0.8757396449704142
grid,2000,0.03,0.0001,0.8757396449704142
grid,2000,0.03,0.0,0.8757396449704142
grid,4000,0.01,1e-05,0.8757396449704142
grid,2000,0.03,1e-05,0.8757396449704142
grid,6000,0.01,1e-05,0.8757396449704142
grid,6000,0.01,0.0,0.8757396449704142
grid,4000,0.01,0.0,0.8757396449704142
grid,4000,0.01,0.001,0.8757396449704142
grid,4000,0.01,0.0005,0.8757396449704142
grid,6000,0.05,1e-05,0.8757396449704142
grid,6000,0.05,0.0001,0.8757396449704142
grid,6000,0.01,0.0001,0.8757396449704142
grid,6000,0.05,0.001,0.8727810650887574
grid,2000,0.05,1e-05,0.8698224852071006
grid,2000,0.05,0.0001,0.8698224852071006
grid,2000,0.05,0.0005,0.8698224852071006
grid,4000,0.05,0.001,0.8698224852071006
grid,4000,0.05,0.0005,0.8698224852071006
grid,4000,0.03,0.001,0.8698224852071006
grid,4000,0.05,0.0,0.8698224852071006
grid,2000,0.05,0.001,0.8698224852071006
grid,2000,0.05,0.0,0.8698224852071006
grid,4000,0.05,1e-05,0.8698224852071006
grid,4000,0.05,0.0001,0.8698224852071006
grid,6000,0.03,0.0,0.8698224852071006
grid,6000,0.03,0.0001,0.8698224852071006
grid,6000,0.03,1e-05,0.8698224852071006
grid,6000,0.03,0.0005,0.8698224852071006
grid,6000,0.03,0.001,0.8668639053254438
grid,4000,0.03,0.0005,0.8668639053254438
grid,4000,0.03,1e-05,0.8668639053254438
grid,4000,0.03,0.0001,0.8668639053254438
grid,4000,0.03,0.0,0.8668639053254438
grid,1000,0.03,0.0001,0.863905325443787
grid,1000,0.03,1e-05,0.863905325443787
grid,1000,0.03,0.0005,0.863905325443787
grid,1000,0.03,0.001,0.863905325443787
grid,1000,0.03,0.0,0.863905325443787
grid,2000,0.01,0.0005,0.8609467455621301
grid,2000,0.01,0.001,0.8609467455621301
grid,2000,0.01,1e-05,0.8609467455621301
grid,2000,0.01,0.0,0.8609467455621301
grid,2000,0.01,0.0001,0.8609467455621301
grid,6000,0.003,0.001,0.8520710059171598
grid,6000,0.003,0.0001,0.8520710059171598
grid,6000,0.003,0.0,0.8520710059171598
grid,6000,0.003,0.0005,0.8520710059171598
grid,6000,0.003,1e-05,0.8520710059171598
grid,4000,0.003,0.001,0.8431952662721893
grid,4000,0.003,1e-05,0.8431952662721893
grid,4000,0.003,0.0001,0.8431952662721893
grid,4000,0.003,0.0,0.8431952662721893
grid,4000,0.003,0.0005,0.8431952662721893
grid,1000,0.01,0.0005,0.834319526627219
grid,1000,0.01,0.0,0.834319526627219
grid,1000,0.01,0.0001,0.834319526627219
grid,1000,0.01,1e-05,0.834319526627219
grid,1000,0.01,0.001,0.834319526627219
grid,2000,0.003,0.0001,0.8076923076923077
grid,2000,0.003,0.0,0.8076923076923077
grid,6000,0.001,1e-05,0.8076923076923077
grid,2000,0.003,1e-05,0.8076923076923077
grid,6000,0.001,0.0,0.8076923076923077
grid,2000,0.003,0.0005,0.8047337278106509
grid,6000,0.001,0.001,0.8047337278106509
grid,6000,0.001,0.0005,0.8047337278106509
grid,6000,0.001,0.0001,0.8047337278106509
grid,2000,0.003,0.001,0.8047337278106509
grid,4000,0.001,0.0,0.7869822485207101
grid,4000,0.001,0.001,0.7869822485207101
grid,4000,0.001,0.0005,0.7869822485207101
grid,4000,0.001,0.0001,0.7869822485207101
grid,4000,0.001,1e-05,0.7869822485207101
grid,1000,0.003,0.0001,0.7633136094674556
grid,1000,0.003,1e-05,0.7633136094674556
grid,1000,0.003,0.0005,0.7633136094674556
grid,1000,0.003,0.001,0.7633136094674556
grid,1000,0.003,0.0,0.7633136094674556
grid,2000,0.001,0.0,0.7396449704142012
grid,2000,0.001,0.0001,0.7396449704142012
grid,2000,0.001,1e-05,0.7396449704142012
grid,2000,0.001,0.001,0.7396449704142012
grid,2000,0.001,0.0005,0.7396449704142012
grid,1000,0.001,0.001,0.7189349112426036
grid,1000,0.001,0.0,0.7189349112426036
grid,1000,0.001,1e-05,0.7189349112426036
grid,1000,0.001,0.0001,0.7189349112426036
grid,1000,0.001,0.0005,0.7189349112426036
